name, latitude, longitude, elevation, time, comment, symbol, description
DCA10,-45.4614449764096,167.151780494207, None, None,A24, Navaid Blue, NEW
DCA11,-45.4618835322757,167.151971917957, None, None,A24, Navaid Blue, NEW
DCA12,-45.4628784073185,167.152097166501, None, None,A24, Navaid Blue, NEW
DCA13,-45.4627353111095,167.152788945965, None, None,A24, Navaid Blue, NEW
DCA14,-45.4627775972318,167.153229476128, None, None,A24, Navaid Blue, NEW
DCA15,-45.463441862064,167.153363655091, None, None,A24, Navaid Blue, NEW
DCR01,-45.4574316030971,167.150847952353, None, None,DOC200 Single, Navaid Red, NEW
DCR02,-45.4570115543649,167.150749550531, None, None,DOC200 Single, Navaid Red, NEW
DCR03,-45.4566762864839,167.150444092822, None, None,DOC200 Single, Navaid Red, NEW
DCR04,-45.4563073428053,167.15074458635, None, None,DOC200 Single, Navaid Red, NEW
DCR05,-45.4558995173498,167.150708872571, None, None,DOC200 Single, Navaid Red, NEW
DCR06,-45.4558818408807,167.15017221164, None, None,DOC200 Single, Navaid Red, NEW
DCR07,-45.4563080287932,167.150039733953, None, None,DOC200 Single, Navaid Red, NEW
DCR08,-45.4563881917209,167.149480125565, None, None,DOC200 Single, Navaid Red, NEW
DCR09,-45.4567354855435,167.14921384758, None, None,DOC200 Single, Navaid Red, NEW
DCR10,-45.4571295771559,167.148982361801, None, None,DOC200 Single, Navaid Red, NEW
DCR11,-45.4575109264877,167.148853245639, None, None,DOC200 Single, Navaid Red, NEW
DCR12,-45.4579052194298,167.148800811061, None, None,DOC200 Single, Navaid Red, NEW
DCR13,-45.4582918396344,167.14858160446, None, None,DOC200 Single, Navaid Red, NEW
DCR14,-45.4586885072145,167.148592877673, None, None,DOC200 Single, Navaid Red, NEW
DCR15,-45.4592507579502,167.148638130326, None, None,DOC200 Single, Navaid Red, NEW
DCR16,-45.4594527994375,167.149066146652, None, None,DOC200 Single, Navaid Red, NEW
DCR17,-45.459832147269,167.149090732909, None, None,DOC200 Single, Navaid Red, NEW
DCR18,-45.4601580929747,167.149635093364, None, None,DOC200 Single, Navaid Red, NEW
DCR19,-45.4604545034388,167.149797488863, None, None,DOC200 Single, Navaid Red, NEW
DCR20,-45.4608332375992,167.149617471814, None, None,DOC200 Single, Navaid Red, NEW
DCR21,-45.4613216511355,167.149644813357, None, None,DOC200 Single, Navaid Red, NEW
DCR22,-45.461642550038,167.149740709334, None, None,DOC200 Single, Navaid Red, NEW
DCR23,-45.4620976971061,167.149821394095, None, None,DOC200 Single, Navaid Red, NEW
DCR24,-45.4626806834413,167.149762167119, None, None,DOC200 Single, Navaid Red, NEW
DCR25,-45.4630904707673,167.149836047274, None, None,DOC200 Single, Navaid Red, NEW
DCR26,-45.4633316366019,167.150132109963, None, None,DOC200 Single, Navaid Red, NEW
DCR27,-45.463667987926,167.150546223052, None, None,DOC200 Single, Navaid Red, NEW
DCR28,-45.4640240185282,167.151343359339, None, None,DOC200 Single, Navaid Red, NEW
DCR29,-45.4643287352706,167.152017901625, None, None,DOC200 Single, Navaid Red, NEW
DCR30,-45.4640901505726,167.152490400946, None, None,DOC200 Single, Navaid Red, NEW
DCRA01,-45.4574311256136,167.150846420899, None, None,A24, Navaid Blue, NEW
DCRA02,-45.4570094311533,167.150751414472, None, None,A24, Navaid Blue, NEW
